name,cdsCode
Tecate Christian,37682136939441
Ocean View Christian Academy,37683956939177
St. Charles Elementary,37683956975692
Mater Dei Catholic High School,37684116939169
Our Lady of Mount Carmel School,37683796975593
Saint Kieran Catholic School,37679916975767
Pine Glen Academy,37756146953160
Kings Academy,37680987093594
Escondido Adventist Academy,37681066975445
Escondido Christian School,37680986975437
St. Mary School,37680986975791
La Costa Valley Preschool and Kindergarten,37680807077332
St. Michael's School,37682966975833
Country Montessori School of Poway,37682967072259
La Jolla Country Day School,37683386939045
Foothills Christian High School,37681307100290
San Diego Jewish Academy,37680566907877
St. Francis of Assisi,37684526975726
Vista Christian,37684526975973
Tri-City Christian Schools,37684526987002
Oceanside Adventist Elementary,37735697090327
Warren-Walker School/La Mesa,37681976206205
Christ the Cornerstone Lutheran Academy,37683386910194
Encinitas Country Day School,37680807051352
Grace Academy,37681146204689
Cathedral Catholic High School,37683466939458
Alpha and Omega Academy,37681146132880
Children's Creative and Performing Arts Academy,37683386918072
Le Lycée Français de San Diego,37683386133128
Family Education Academy,37681146131742
"Gillispie School, The",37683386988166
Mt. Helix Academy,37681976927636
Notre Dame Academy,37680566143622
Pacific Ridge School,37735516133680
Grace Christian School,37680986965511
Zion Christian School,37681146954648
"Comprehensive Ed Svs, DBA: Aces Academy",37683380110809
Southern California Yeshiva High School,37683386139455
Sierra School Of San Diego,37683386992994
Aseltine School,37683386975270
Children's Workshop,37683386987960
Cook Education Center,37683387079817
Urban Skills Center,37683387078165
Sam and Rose Stein Education Center,37683386997969
South Bay Christian Academy,37680236138150
Saint Joseph Academy,37737917090244
Mt. Erie Christian Academy,37683387008212
Victory Christian Academy,37684116939136
Ramona Faith Academy,37683046138689
St. Gregory the Great Catholic School,37682966138820
Village Gate Children's Academy,37684526138929
Bonita Learning Academy,37680236139638
Calvary Preparatory Academy,37680986140925
High Bluff Academy,37683466139570
Redeemer by the Sea Lutheran Kindergarten and Preschool,37735516141469
Tabernacle Christian Academy,37683386939433
Montessori Explorer,37680236142301
Berean Bible Baptist Academy,37680236132906
Lifetime Montessori School,37682966144059
Maria Montessori School,37683386996045
The Cambridge School,37682966132922
Big Tree Little Preschool Kindergarten,37684526147797
Sacred Woven Circle Academy,37735696147912
St. Mary Star of the Sea Elementary,37735696975817
Canyon Ridge Christian Prep,37681146130959
Discovery Isle Child Development Center,37737917095144
Cal Coast Academy,37683466200687
St. Martin of Tours Academy,37681976965552
Fusion Academy Solana Beach,37683466205041
Del Mar Pines School,37683876905061
Good Shepherd Catholic School,37683386920722
Grace Christian Schools-Mission Valley Christian Fellowship,37683387008048
Brookshire International Academy,37683386141774
Beta-Selam Academy,37683386148894
