,district,socType,name,minGrade,cv_dist,cv_miles
646,San Diego Unified,High Schools (Public),Kearny Eng Innov & Design,9.0,18057.04487173375,11.285653044833593
647,San Diego Unified,High Schools (Public),Kearny Digital Media & Design,9.0,18057.04487173375,11.285653044833593
648,San Diego Unified,High Schools (Public),Kearny School of Biomedical Science and Technology,9.0,18057.04487173375,11.285653044833593
649,San Diego Unified,High Schools (Public),Kearny College Connections,9.0,18057.04487173375,11.285653044833593
509,San Diego Unified,High Schools (Public),Canyon Hills High,9.0,18570.898449768476,11.606811531105297
109,San Diego Unified,Intermediate/Middle Schools (Public),Montgomery Middle,6.0,18819.623096400974,11.762264435250609
506,San Diego Unified,Intermediate/Middle Schools (Public),De Portola Middle,6.0,19207.071128120508,12.004419455075316
97,San Diego Unified,Intermediate/Middle Schools (Public),Taft Middle,6.0,19275.662089178782,12.04728880573674
511,San Diego Unified,Intermediate/Middle Schools (Public),Farb Middle,6.0,19304.307952423704,12.065192470264815
803,Carlsbad Unified,Private,Pacific Ridge School,7.0,19404.513974504785,12.127821234065491
888,Poway Unified,Adult Education Centers,Poway Adult,16.0,19441.96502438533,12.15122814024083
898,Carlsbad Unified,Adult Education Centers,Carlsbad Adult Transition,16.0,19542.644952201248,12.21415309512578
437,Poway Unified,Intermediate/Middle Schools (Public),Twin Peaks Middle,6.0,20151.662522592185,12.594789076620115
114,San Diego Unified,Continuation High Schools,Twain High,7.0,20334.301735472847,12.708938584670529
369,San Marcos Unified,High Schools (Public),San Marcos High,9.0,20443.26615419427,12.777041346371417
902,San Diego County ROP,ROC/ROP,San Diego County ROP,9.0,20595.426197036802,12.872141373148002
858,Carlsbad Unified,Private,Futures Academy - Carlsbad,6.0,20657.340000753025,12.910837500470642
663,SBC - High Tech High,High Schools (Public),High Tech High North County,9.0,20731.01012279439,12.956881326746492
607,SBC - High Tech High,Intermediate/Middle Schools (Public),High Tech Middle North County,6.0,20808.66434344665,13.005415214654157
429,Poway Unified,High Schools (Public),Poway High,9.0,20816.118756937536,13.01007422308596
630,Escondido Union High,High Schools (Public),Del Lago Academy - Campus of Applied Science,9.0,21074.06587631166,13.171291172694787
919,Escondido Union High,High Schools (Public),Audeo Charter School III,6.0,21246.44658095326,13.279029113095786
873,Mono County Office of Education,High Schools (Public),Urban Corps of San Diego County Charter,9.0,21639.422364563972,13.524638977852483
812,San Diego Unified,Private,Urban Skills Center,12.0,22044.884379065836,13.778052736916147
956,San Diego Unified,Private,Warren-Walker Middle School,6.0,22066.323731475768,13.791452332172355
667,Escondido Union,Intermediate/Middle Schools (Public),Del Dios Academy of Arts and Sciences,6.0,22193.15717754924,13.870723235968276
179,San Diego Unified,Intermediate/Middle Schools (Public),Correia Middle,7.0,22207.414641014806,13.879634150634253
398,Escondido Union High,High Schools (Public),San Pasqual High,9.0,22304.76390323892,13.940477439524324
653,San Diego Unified,Special Education Schools (Public),TRACE,9.0,22367.003336385973,13.979377085241232
868,San Diego Unified,Private,Community School of San Diego High School,9.0,22391.97255558625,13.994982847241406
570,San Diego Unified,Intermediate/Middle Schools (Public),Magnolia Science Academy San Diego,6.0,22464.820143688932,14.040512589805582
742,San Diego Unified,Private,Academy of Our Lady of Peace,9.0,22553.49188801509,14.095932430009432
102,San Diego Unified,Intermediate/Middle Schools (Public),Lewis Middle,6.0,22635.240059606134,14.147025037253833
915,Warner Unified,High Schools (Public),Pathways Academy Charter - Adult Education,9.0,22638.657305033557,14.149160815645974
349,San Marcos Unified,Intermediate/Middle Schools (Public),San Marcos Middle,6.0,22825.012657383668,14.265632910864792
374,Escondido Union,Intermediate/Middle Schools (Public),Bear Valley Middle,6.0,22849.826169210082,14.2811413557563
257,San Diego Unified,High Schools (Public),Point Loma High,9.0,23110.64412005683,14.444152575035519
635,Carlsbad Unified,High Schools (Public),Sage Creek High,9.0,23615.765624516953,14.759853515323096
125,San Marcos Unified,High Schools (Public),Mission Hills High,9.0,23623.233966887605,14.764521229304753
192,San Diego Unified,Intermediate/Middle Schools (Public),High Tech Middle,6.0,23683.13426345833,14.801958914661457
193,San Diego Unified,High Schools (Public),High Tech High,9.0,23747.55412566774,14.842221328542337
554,San Diego Unified,High Schools (Public),High Tech High Media Arts,9.0,23757.419749701163,14.848387343563227
665,San Diego Unified,Intermediate/Middle Schools (Public),High Tech Middle Media Arts,6.0,23757.419749701163,14.848387343563227
932,San Diego Unified,Private,Community Transition Academy,9.0,23777.299163707798,14.860811977317374
39,Grossmont Union High,High Schools (Public),West Hills High,9.0,23778.350111234275,14.861468819521422
1015,Carlsbad Unified,Private,LV Academy,6.0,23834.00962196678,14.896256013729237
337,Vista Unified,High Schools (Public),Rancho Buena Vista High,9.0,23906.934848476176,14.94183428029761
244,San Diego Unified,High Schools (Public),High Tech High International,9.0,23908.297809122312,14.942686130701444
